日期,活動項目,參加人數,備註
2021-06-22,畫圖與作品欣賞,11.0,楊吳劉、許采瀅:主動要求玩拼圖
2021-06-23,球類運動,8.0,"1.今天活動凝聚力較低，導致人數浮動，且有歧視、排擠等現象出現(李楊月)。
2.廖猛說:只有我一個人在踢。
"
2021-06-24,自由活動,8.0,
2021-06-25,球類運動,12.0,李楊月:今天活動狀況極佳
2021-06-28,賓果遊戲,14.0,"
1. 程信:由於下雨在室內，邀請後也開始遊玩
2. 許采瀅:因為較晚加入，所以有些數字尚未填寫，但是會跟楊吳劉對數字，趕上進度
3. 蘇鍾水裡:在找尋數字時，發現王吉雄也有在幫忙找(第一次)
"
2021-06-29,畫圖與作品欣賞,13.0,許采瀅:活動力佳，連續畫了三張圖
2021-06-30,球類運動,12.0,
2021-07-01,自由活動,10.0,1.黃寶血:一口氣玩了六組拼圖。 2.由於新添購拼圖，所以大部分住民都在玩拼圖。
2021-07-02,球類運動,12.0,1.謝秀琴:有針對李楊月排擠現象發生。
2021-07-03,唱歌與歌唱欣賞,15.0,
2021-07-04,唱歌與歌唱欣賞,16.0,
2021-07-05,賓果遊戲,15.0,1.黃寶血、廖招治:認為同桌的廖李罔市拖累活動進程，且有歧視言論 2.程日松:雖沒參加活動，可是卻對活動形式有意見 3.李廖連順:有與該長者透過問答數字互動，且互動良好
2021-07-06,畫圖與作品欣賞,12.0,1.活動整體氣氛佳，且發現大家較為喜歡黃色的畫筆以及底圖為女性或是服裝相關 2.許采瀅、廖張玉珠:多畫一張圖 3.廖張玉珠、蘇鍾水裡:感覺長者對於畫圖的信心有所增加 4.謝秀琴:今天不排斥畫圖
2021-07-07,球類運動,13.0,1.活動一開始雖有責罵李楊月不踢球的現象，但經過照服人員勸導後，整體活動氛圍較佳，且無責罵狀況發生。2.黃英:第一次主動發言要參與活動。
2021-07-08,自由活動,12.0,1.大家對於新拼圖，仍保有很高的興趣。2.蘇鍾水裡:排除長者的活動參與的困難後，長者非常踴躍嘗試。3.觀察到之前與長者敲冰塊的新增的遊玩方式開始被其他長者複製，可見周遭長者的改變可潛移默化至其他長者。
2021-07-09,球類運動,19.0,1.活動形式轉為一對一的方式，有些怕生的長者也會開始玩
2021-07-10,唱歌與歌唱欣賞,22.0,
2021-07-11,唱歌與歌唱欣賞,22.0,
2021-07-12,賓果遊戲,12.0,1.程萬寶:第一次開始參與該活動
2021-07-13,畫圖與作品欣賞,11.0,"1.今日活動氣氛平穩。
2.許采瀅:今天仍舊畫了兩張圖。
3.謝秀琴:今天主動要求畫一些簡單的畫。
4.黃英:今天眼睛狀況較差，但仍嘗試繪畫。
5.黃寶血:提醒工作人員要小心對待她的畫，可看出長者珍惜自己的作品。
6.蘇鍾水裡:開始會拿自己的畫欣賞，且告知工作人員:黃色的筆沒水了以及手很酸，不過仍努力完成畫作。"
2021-07-14,球類運動,11.0,"1.一邊踢球一邊講述新聞的活動效果不錯。
2.今日雖然人數較少，長者需要負責較大面積的防守、踢球，本以為在工作人員不足的狀況下會較難以進行，意外地活動進行順利，未來可以考慮以10個作為活動分組。"
2021-07-15,自由活動,12.0,"1.程萬寶:看見隔壁的玉珠在玩拼圖，開始也跟著玩。
2.程周春梅:開始對於桌遊抱持不同的想法，本來是能打發時間就好，後來變成玩具蠻好玩的。
3.蘇鍾水裡:對玩拼圖較為熟悉了，玩了六組。
4.黃寶血:有教同桌的廖招治玩拼圖，不過招治阿嬤還是比較願意畫圖，聽寶血阿嬤轉述:她說她學不會。"
2021-07-16,球類運動,13.0,"1.今天參加者較為踴躍，無須工作人員也加入其中，也能讓活動順利進行。
2.黃英:第二次參加球類活動，反應快速，期待可成為活動參與的常設人員。
3.王戴錦笑:雖然有在團體內，對於踢球不怎麼踴躍。
4.許多長者都有提及今日參加人數較多。
5.李廖連順、廖招治:可能所處位置可以踢到球的機會較少，所以會主動調整位置，期待獲得更多踢球的機會。"
2021-07-17,唱歌與歌唱欣賞,22.0,"住民多數認真聆聽,有些住民也會適時的給予掌聲,讓歌唱者與聽眾產生互動與對話,少數住民會睡覺,或是無法專心聆聽,比如說9號程日松.59號廖連發售等,有些人能明顯令人感覺樂在其中.享受無比,因為他們會聽著音樂,跟著歌唱者一起進入歌唱世界,一起唱出美妙無比的黃鶯之音,總而言之,整體而言住民的活動參與度頗高,只有零星幾位不在狀態上,或許我們可以鼓勵並帶領這些迷茫的人員進入五彩繽紛的歌唱世界,以上正是此次活動一些觀察所得云云"
2021-07-18,唱歌與歌唱欣賞,22.0,無
2021-07-19,賓果遊戲,13.0,"1.程萬寶:繼上次有參加該活動後，這次也有參加。
2.聽工作人員轉述:以前蘇清露下午都不會出來，不過現在下午出現的頻率比較高了，不知道是不是同為室友的程萬寶影響了他，這其中的因果關係仍需要確認，不過以長者之前的狀況來比較，我認為能出來走走就是好事。
"
2021-07-20,畫圖與作品欣賞,10.0,"1.廖張玉珠:身體不適沒有參與活動。
2.廖李甘:認為畫圖的原圖不喜歡，所以沒有參與活動。
3.許李傳:今天不排斥參與活動。
4.蘇鍾水裡:長者表示今日畫圖的原圖較難，所以很吃力。
小結:下次為更仔細挑選原圖。"
2021-07-21,球類運動,12.0,"1.廖程貴美:有針對李揚月的霸凌現象產生，不過情況較輕微。
2.廖張玉珠:有針對李揚月的霸凌現象產生，由於該長者身體能力較佳，會將球故意往李揚月身上踢"
2021-07-22,自由活動,12.0,無
2021-07-23,球類運動,20.0,"1.由於工作人員數量較多，所以活動內容為:投籃，所以活動形式改成非團體活動，透過工作人員四處移動器材並鼓勵長者參與活動，參與人數明顯上升。
2.本來不參加團體活動的長者，因為修改活動形式，所以也開始會參與了，表現不比其他原先就會參與活動的長者差，"
2021-07-24,唱歌與歌唱欣賞,22.0,無
2021-07-25,唱歌與歌唱欣賞,22.0,無
2021-07-26,賓果遊戲,15.0,"1.廖張玉珠:在找數字時，有時會發現長者狀況較差，雖然有提示數字位置，不過得不太到回應。
2.程萬寶:開始習慣參與此活動了。"
2021-07-27,畫圖與作品欣賞,10.0,"1.今天參加人數較少，連會參加所有活動的阿嬤，都表示:今天想休息一下，可能是天氣炎熱所以活動力下降。
2.廖留:說畫圖的原圖越簡單越好，這樣才可以休息。
3.程萬寶:雖然沒有直接參與活動，但是會觀察隔壁的阿嬤的作品，並適時給予稱讚。
透過今日活動發現，畫圖的目的與形式需要修改，應更聚焦於與長者互動的過程。"
2021-07-28,球類運動,15.0,"1.今天活動分為大小兩組進行，大組參加成員多為固定參加之長者，共12位，活動形式為圍圈踢球;小組參加成員多為身體狀況較差或是失智長者，共3位，活動形式為丟球。
2.這次分為兩組主要原因是(1)人數較多時，長者能接觸球的頻率較低，可能會讓長者的動力降低。(2)因機構內有排擠狀況，為避免讓身體狀況較差或是退化較為嚴重的長者無法參與活動。
3.大組、小組活動狀況皆良好。
4.在帶領小組活動時，服務人數較少，但是與長者互動的頻率增加，且發現平時拒絕參與活動的長者(23 李劉鴛鴦)會願意參加，且專注力較高(17 李楊月)。
5.李廖連順:原先拒絕參與大組活動，但卻會主動參與小組活動，並且在該過程中長者會主動介紹自己，並認為運動有其重要性。"
2021-07-29,自由活動,11.0,"1.黃英:工作人員詢問是否參與活動時，起先是拒絕的並表示:鼻水一直流，不想參加，可是後來身體狀況較好後，會主動告知工作人員:想參加活動。
2.程信:有稍微嘗試一下拼圖，但是沒多久就放棄了，未來可再持續邀請阿公參加。
3.廖張玉珠:邀請參加玩拼圖時，雖表示:不太會，但仍願意參與，同時發現阿嬤若完成拼圖後，廖程貴美會主動拿新的拼圖給玉珠玩，後來該長者也有開始遊玩企鵝敲冰塊遊戲(第一次)。"
2021-07-30,球類運動,15.0,"1.嘗試上禮拜的模式分成大組與小組活動，大組活動內容為踢球，參加人數為13人，大組整體狀況良好;小組活動內容為丟球投籃，參加人數為2人，小組整體狀況較差。
2.黃英:自從主動加入活動後，已經成為該活動固定參加人員，工作人員被廖留反應:那個阿嬤不會踢啦，不過經過工作人員溝通後，便無此狀況發生。
3.李楊月:雖有參加小組活動，可是由於投籃局數過多，所以有反應說:不太想丟，不過該長者參加對於活動不排斥，可能需要修改活動的內容。
4.李劉鴛鴦:本以為該長者不參與活動是因為參與活動表現不佳，而被其他活動參與者排擠，後來將該長者分入小組活動，但會刻意避開小組活動帶領者的視線，拒絕參加活動，並反應:很無聊。
5.整體而言，需要再針對小組活動內容進行修改。"
2021-07-31,唱歌與歌唱欣賞,22.0,無
2021-08-01,唱歌與歌唱欣賞,22.0,無
2021-08-02,賓果遊戲,18.0,無
2021-08-03,畫圖與作品欣賞,12.0,無
2021-08-04,球類運動,13.0,"1.李劉鴛鴦:該長者不太參與活動，但是活動前一天發現自己雙腳無力無法站立，便與長者約定要陪她進行腳部訓練，而長者也因此較為願意參與，不過有提出與工作人員兩人單獨活動，雖然活動較為乏味，但長者仍努力完成活動(抬腳訓練、踢球)。
2.廖張玉珠與廖程貴美:今日邀請兩位住民參與活動，但是玉珠說:今日頭暈不太想參加，而貴美住民也因為身體不適所以不想參與，但最後貴美住民事後仍主動參與活動，工作人員詢問原因，貴美住民表示:在旁邊也是無聊，並邀請了玉珠住民也一起參加。最後，玉珠住民因為貴美住民的邀請也參與活動。
3.程周春梅:今日大組的踢球活動結束後，工作人員(志賢)教導長者做一些手部運動，來作為活動的結束，發現春梅住民對於這手部運動較為熱衷並且主動介紹自己的學生經歷以及演示自己會的運動，因為平時該住民雖都有參與，但是反應都較為平穩，因此可以考慮未來在此活動的安排上可以加入其他運動方式，或許會有意想不到的效果。"
2021-08-05,自由活動,12.0,"1.程萬寶:今日有嘗試遊玩桌遊，不過很快就放棄了。
2.廖李甘:有跟工作人員提出想要畫甚麼類型的圖。
3.廖程貴美:住民表示今天玩拼圖玩到流汗，因為拼圖一直裝不進去。
4.許李傳:今日聽工作人員轉述，對於拼圖比較不排斥了。
5.李劉鴛鴦:今日仍有意願在工作人員陪同下進行肌力訓練。"
2021-08-06,球類運動,12.0,"1.活動整體狀況平穩。
2.廖猛:注意力較為不集中。
3.今日活動形式為踢球配合讀報，並以聊天作為媒介，加強長者於活動的參與度，雖有成效不過團體領導者(庭嘉)語速過快，需要再修正速度，才能讓長者更容易切入話題。"
2021-08-07,唱歌與歌唱欣賞,24.0,1.今天活動與父親節活動合併辦理，長者們一邊吃蛋糕、享受父親節的氣氛，一邊又可以進行歌唱活動。
2021-08-08,唱歌與歌唱欣賞,22.0,無
2021-08-09,賓果遊戲,13.0,"1.因工作人員在帶領活動的過程中發現有人咳嗽便上前關心，但是發現關心錯人，因而在活動過程中添加了笑料。
2.李廖連順:雖然沒有直接的參與活動，但仍會與工作人員互動，如:工作人員詢問彩球上的數字時，會以言語輔以手勢回答工作人員的問題。
3許李傳:因當天天氣炎熱，所以許多住民表示要開電扇，但是該長者表示會冷，以後可能需要因天氣改變長者活動的位置。"
2021-08-10,畫圖與作品欣賞,13.0,"1.今天活動底圖過於簡單，所以有些性子較急的長者(如:程周春梅、廖留)過早完成，仍需要拿捏難度。
2.今日活動形式改成前半部時間畫圖，後半部的時間是針對活動挑選的底圖(動物)，進行影片介紹，雖是第一次執行不過目前觀察沒有直接參與的長者多少都有被吸引注意力，是一個不錯的開始，而大部分本有參與活動的長者也有關注在影片介紹上。
3.廖李罔市:第一次主動參與活動，雖然同桌的廖招治與黃寶血排斥讓該長者參與活動，表示:「浪費紙」、「他腦退化不行啦」，不過在工作人員較為強硬的態度下，仍然順利參與活動，不過該長者由於失智較為嚴重所以畫圖的因此沒有畫在底圖上。總而言之，至少有一個開始，未來可能會考慮讓該長者在參與該活動時，能夠換一個地點參與。"
2021-08-11,球類運動,14.0,無
2021-08-12,自由活動,12.0,"1.程周春梅:以前剛開始玩桌遊時都會說:唱歌比較好，活動剛開始時聽到他說:不要唱歌啦，玩桌遊就好，或許是已經開始喜歡玩桌遊了。
2.今天整理器材時偶然有看到磅秤，並讓長者們去秤豆子達到要求的重量，透過這個形式刺激長者認知刺激以及訓練抓握能力，反而激起一些女性長者在討論以前買菜的狀況。"
2021-08-13,球類運動,18.0,1.由於團體活動都會有欺凌的狀況產生，所以當人手多時就會以工作人員移動而長者不動的形式進行活動，但主管不認為這是一種活動，便臨時改成傳遞兵乓球比賽，但該活動需要分成兩隊，導致有些長者不喜歡特定長者時便會要求工作人員換位子導致活動較難順利進行，同時也不斷有歧視等言語發生。
2021-08-14,唱歌與歌唱欣賞,22.0,
2021-08-15,唱歌與歌唱欣賞,22.0,1.由於現正值中元節，工作人員便在終場時講了一個鬼故事，不過因為故事本身是國語的，反而翻成台語時比較難以接續國語版本的效果，所以長者較無反應。
2021-08-16,賓果遊戲,15.0,"1.程日松:今天很勤奮地一直幫同桌的同僚找數字，在詢問長者是否願意遊玩時，便順其自然地跟著參加了，認為以同僚影響長者的參與意願是有效的。
2.謝秀琴:在活動前便詢問今天是不是玩賓果而且今日在活動進行的過程中對工作人員說:最喜歡禮拜一了，但來長者特別喜愛此活動。
3.李廖連順:現在已習慣跟工作人員互動、辨認數字，且會以動作搭配言語進行表達。
"
2021-08-18,球類運動,10.0,今日狀況一切如常
2021-08-19,自由活動,12.0,"自由活動:唱歌.拼圖.畫圖,企鵝敲冰塊.動物益智排圖板,今日清露除了聽歌外,還有看一下拼圖,似乎有些興趣,雖然有興趣,但後來還是沒玩拼圖,我推測應該是因為視力問題所導致,故後來才放棄遊玩拼圖,采瀅後來在中途加入拼拼圖的行列,從旁看來,玩的挺津津有味的,然後今日活動自始至終一切順利,直至結束,皆為圓滿
"
2021-08-20,球類運動,11.0,"今日活動狀態還不錯,大家都踢的挺好的"
2021-08-21,唱歌與歌唱欣賞,22.0,"有一些人沉醉在歌唱的世界裡,一些人在活動進行中閉目養神,欣賞各種歌曲,活動進行順利,圓滿完成!!!"
2021-08-22,唱歌與歌唱欣賞,22.0,"音樂響起,充斥在四面八方之中,住民唱歌開心無比,其他純粹聆聽音樂.歌聲的人們感覺也樂在其中,有時還會適時的給予鼓勵的掌聲,讓聆聽音樂.歌聲的住民們與唱歌中的住民有及時.良好的互動,故整體活動還不錯!!!
"
2021-08-25,球類運動,10.0,"今日踢球人數較少,春梅睡有點晚,大約四點就位,今日的活躍度較低"
2021-08-28,唱歌與歌唱欣賞,22.0,"今日歌唱活動,舉辦過程相當順利,也圓滿落幕!!!"
2021-08-29,唱歌與歌唱欣賞,22.0,"今日萬寶跟清露在活動過程中,有一起合唱,場面相當和諧.美妙,李甘也都會跟著歌曲來哼哼唱唱,相當的投入,歌唱結束時,有些人還會熱烈鼓掌,互動相當良好!!!
"
2021-08-30,畫圖與作品欣賞,9,"今天讓住民畫甘藍.茄子.蜻蜓.青蛙,大家普遍化的挺開心的,所以狀態上還不錯"
